"1","704.1000000000001"
"2","1549.3999999999999"
"3","2235.8000000000006"
"4","2955.599999999999"
"5","3722.799999999998"
"6","4460.3"
"7","5176.100000000002"
"7","5834.200000000002"
"8","6538.800000000003"
"9","7259.800000000004"
"10","8058.600000000005"
"11","8795.200000000004"
"11","9237.600000000008"
"12","9980.900000000005"
"12","10502.000000000007"
"13","11358.500000000013"
"13","10837.40000000001"
"14","11335.300000000014"
"15","12293.600000000017"
"16","13116.900000000018"
"16","13895.000000000018"
"17","14665.400000000021"
"18","15407.500000000024"
"19","16106.500000000027"
"20","16944.000000000025"
"21","17653.80000000002"
"22","18491.50000000002"
"22","19031.60000000001"
"23","19915.80000000001"
"24","20477.7"
"25","21286.799999999992"
"26","21890.999999999993"
"27","22656.099999999984"
"27","23307.399999999994"
"28","23886.599999999988"
"29","24612.599999999988"
"30","25392.79999999998"
"31","26296.79999999998"
"32","26943.299999999974"
"33","27571.999999999978"
"34","28414.99999999997"
"34","29103.499999999967"
"35","29641.39999999996"
"36","30328.79999999996"
"37","31367.69999999996"
"38","32101.79999999995"
"38","32525.09999999995"
"38","33068.79999999994"
"39","33754.09999999992"
"40","34588.19999999992"
"41","35583.39999999989"
"42","36278.79999999989"
"42","36821.19999999988"
"43","37481.79999999989"
"42","36747.69999999989"
"41","35902.39999999989"
"42","36579.19999999988"
"42","37084.29999999988"
"43","37735.19999999988"
"42","36926.099999999875"
"42","37538.199999999866"
"42","38003.899999999856"
"43","38703.49999999984"
"43","38954.899999999856"
"44","39892.99999999983"
"43","39177.199999999866"
"44","39828.39999999984"
"44","40120.299999999836"
"45","40998.399999999834"
"44","40175.09999999984"
"44","40802.19999999983"
"44","41198.19999999983"
"44","41806.59999999983"
"45","42528.19999999983"
"46","43311.49999999983"
"46","43756.49999999981"
"47","44457.499999999825"
"48","45279.799999999814"
"49","45989.699999999786"
"48","45451.7999999998"
"48","44793.699999999815"
"48","45206.799999999814"
"49","46113.19999999978"
"49","46743.799999999785"
"50","47676.299999999785"
"51","48419.99999999979"
"52","49193.19999999979"
"53","49899.59999999978"
"54","50557.89999999977"
"54","51070.19999999976"
"55","51737.99999999975"
"55","52176.999999999745"
"55","52890.69999999977"
"55","53241.099999999766"
"55","53727.99999999977"
"56","54388.99999999975"
"57","55150.19999999975"
"58","56126.19999999973"
"58","56758.59999999973"
"59","57600.799999999734"
"59","58062.79999999972"
"59","58649.99999999971"
"60","59416.59999999968"
"60","59737.49999999967"
"61","60527.09999999968"
"61","60873.09999999968"
"60","60168.49999999969"
"61","61026.19999999969"
"61","61451.699999999684"
"62","62159.49999999968"
"63","62935.499999999665"
"63","62550.09999999967"
"63","62771.299999999675"
"63","63158.19999999967"
"63","63757.89999999967"
"63","64351.99999999966"
"63","64572.49999999966"
"63","64309.39999999967"
"63","64763.699999999655"
"63","64306.29999999965"
"64","65033.59999999964"
"64","65367.89999999965"
"64","65697.79999999967"
"65","66633.79999999967"
"65","66210.4999999997"
"64","65504.09999999967"
"65","66214.59999999971"
"66","67153.7999999997"
"66","67618.79999999968"
"66","67889.09999999969"
"66","68338.19999999969"
"66","68826.6999999997"
"66","68296.99999999971"
"66","68931.99999999972"
"66","69400.19999999974"
"67","70144.09999999979"
"67","70480.9999999998"
"67","70999.69999999981"
"68","71867.19999999981"
"67","71206.1999999998"
"67","71918.69999999981"
"67","72192.99999999983"
"67","71771.6999999998"
"67","72300.9999999998"
"67","72702.7999999998"
"67","72553.79999999978"
"67","71861.79999999977"
"67","72281.8999999998"
"67","72757.59999999983"
"67","73169.19999999984"
"67","73482.19999999982"
"67","73990.99999999981"
"68","74746.7999999998"
"68","74948.2999999998"
"68","74356.49999999983"
"69","75162.1999999998"
"70","75899.99999999977"
"70","75442.19999999976"
"71","76260.39999999975"
"72","77126.59999999976"
"72","77619.09999999979"
"73","78556.3999999998"
"73","78169.49999999981"
"74","78916.8999999998"
"74","79611.69999999981"
"74","79924.49999999983"
"74","79712.19999999982"
"75","80486.19999999985"
"76","81243.59999999986"
"77","82184.29999999986"
"77","81819.09999999985"
"77","81295.39999999986"
"76","80593.59999999985"
"76","80901.59999999985"
"75","80111.99999999987"
"76","80926.39999999986"
"77","81575.49999999985"
"77","82025.99999999984"
"77","82292.69999999987"
"77","82861.5999999999"
"78","83576.79999999993"
"77","82851.8999999999"
"78","83580.39999999992"
"78","84121.69999999992"
"78","84546.99999999994"
"78","84888.49999999993"
"78","84780.49999999993"
"78","85028.09999999993"
"79","85834.49999999997"
"79","85325.69999999995"
"79","85796.09999999995"
"79","86337.49999999997"
"78","85616.49999999994"
"78","85896.99999999996"
"78","86342.99999999994"
"78","86595.19999999995"
"78","86016.39999999992"
"78","86206.39999999994"
"79","87003.49999999997"
"80","87741.99999999999"
"80","88041.20000000001"
"80","88404.30000000003"
"81","89185.40000000004"
"81","89414.80000000003"
"82","90011.80000000003"
"82","90591.5"
"81","89853.00000000003"
"81","90306.30000000005"
"81","89943.20000000003"
"82","90833.09999999999"
"82","91143.19999999998"
"82","90832.3"
"83","91515.0"
"83","91085.2"
"83","90566.49999999999"
"83","90655.2"
"84","91511.79999999996"
"84","91007.59999999996"
"84","91313.59999999996"
"83","90539.59999999993"
"83","91049.29999999993"
"84","91912.99999999994"
"84","91711.49999999994"
"84","91982.29999999993"
"84","91282.99999999994"
"84","90668.59999999993"
"84","91158.69999999995"
"85","91779.39999999995"
"84","91094.09999999993"
"83","90435.79999999996"
"83","90024.2"
"83","90651.0"
"83","91132.20000000001"
"84","91844.70000000006"
"84","92284.50000000006"
"84","92809.30000000005"
"84","92328.10000000006"
"84","92930.1000000001"
"84","93366.10000000006"
"84","93585.60000000006"
